,Unnamed: 0,tag,token0,token1,date,timestamp,token0_daily_price_median_mint,token0_daily_amount_mint,token0_daily_price_median_burn,token0_daily_amount_burn,token0_daily_amount_net_mint_burn,liquidity_daily_sum_mint,liquidity_daily_sum_burn,liquidity_daily_net_mint_burn,token0_daily_price_median_swap,token0_daily_price_min_swap,token0_daily_price_max_swap,token0_daily_price_std_swap,token0_daily_amount_buy_swap,token0_daily_amount_sell_swap,token0_daily_amount_net_swap,total_events_daily_mint,total_events_daily_burn,total_events_daily_swap,total_events_daily
167,167,USDC_USDT,USDC,USDT,2023-11-15,1700006400,0.999861,-6137.786093,0.9937993098355088,10083.132196,3945.3461030000008,2165262358136.0,-5841852398339.0,-3676590040203.0,0.999837547653259,1.1111111111111112,0.9990791111403085,0.0020362652588617,1553153.567407,-1550218.279021,2935.2883859998547,79,64,2990,3133
169,169,USDC_USDT,USDC,USDT,2023-11-16,1700092800,0.9999380547861588,-21836.484093,0.993800128964499,15768.219896,-6068.264197,57227601298095.0,-48958742185997.0,8268859112098.0,0.9998587286003242,1.000518335808176,0.998,7.814207240629956e-05,1944342.318274,-1921499.472317,22842.845957000274,95,59,4496,4650
170,170,USDC_USDT,USDC,USDT,2023-11-17,1700179200,1.0000994311457043,-20608.991889,1.010041980637166,12720.155206,-7888.836682999998,82446240488437.0,-88845759201400.0,-6399518712963.0,0.9999667649826224,1.0010010010010009,0.997,0.0001125804196251,2914278.244236,-2828202.873091,86075.37114499975,122,62,6710,6894
173,173,USDC_USDT,USDC,USDT,2023-11-18,1700265600,1.0003160330541383,-36572.902685,1.0322686539390904,22248.237462,-14324.665223000004,238372793181639.0,-153695633716808.0,84677159464831.0,0.9999337649906016,1.0010010010010009,0.997,0.0001028487919529,5277794.660627,-5237738.250347,40056.41028000042,186,82,12068,12336
175,175,USDC_USDT,USDC,USDT,2023-11-19,1700352000,1.0000469187284209,-58132.44336800001,1.002134086870193,68190.20626899999,10057.76290099998,1146770375432060.0,-968077509303745.0,178692866128315.0,0.9998465501658276,1.0344827586206895,0.9903225806451612,0.0003897304920618,4513355.575680001,-4528752.807693001,-15397.232013000175,293,176,10403,10872
176,176,USDC_USDT,USDC,USDT,2023-11-20,1700438400,1.000228149401,-34969.640163000004,1.000021213908667,19354.542162,-15615.098001000006,1592351329904673.0,-1544467162084592.0,47884167820081.0,0.9996900871171152,1.0021978021978022,0.9934782608695653,0.0001481648868922,2478461.057335,-2499605.791187,-21144.733851999976,125,65,5112,5302
178,178,USDC_USDT,USDC,USDT,2023-11-21,1700524800,1.0000212166868196,-90943.374837,1.0000212469261849,65974.599326,-24968.77551100001,334075464122506.0,-661072441437126.0,-326996977314620.0,0.9996128226918004,1.0065359477124185,0.9808917197452228,0.0005201784415297,1113284.868944,-1061553.063167,51731.80577700003,77,76,2708,2861
180,180,USDC_USDT,USDC,USDT,2023-11-22,1700611200,1.0000051399999998,-28749.160896,1.0005185558264935,31082.939524,2333.778628,81769179486328.0,-24775209253028.0,56993970233300.0,0.9996434604990886,1.0010010010010009,0.988095238095238,0.0002362867116653,1754688.842326,-1774580.9323529997,-19892.09002699959,95,101,3275,3471
183,183,USDC_USDT,USDC,USDT,2023-11-23,1700697600,0.999903,-39648.325245,0.9903552388033317,25577.231348000005,-14071.093896999995,99967038282490.0,-35137427817850.0,64829610464640.0,0.9996188657436992,1.0010010010010009,0.9969909729187564,0.0001109281051494,1680442.752873,-1638645.70354,41797.04933299986,125,87,3722,3934
185,185,USDC_USDT,USDC,USDT,2023-11-24,1700784000,0.9997900040850646,-112172.390209,0.9995925187694068,79610.708758,-32561.68145100001,506738770396218.0,-462606384804068.0,44132385592150.0,0.9996174417063012,1.0010010010010009,0.9892086330935254,0.0001808851100013,2468202.4810160003,-2442943.927848,25258.553168000188,132,130,5761,6023
187,187,USDC_USDT,USDC,USDT,2023-11-25,1700870400,0.9997900030768668,-95443.940193,0.985481225811224,99334.271231,3890.3310380000185,340509666950750.0,-279268443016434.0,61241223934316.0,0.9996143411058276,1.0098902631724656,0.997,0.0002157887665745,4078576.567887,-4000632.487983,77944.07990400027,228,218,8918,9364
189,189,USDC_USDT,USDC,USDT,2023-11-26,1700956800,0.9998850751065697,-97905.90626,0.9885223135310331,105838.928318,7933.022058000002,251113174000073.0,-232094119631551.0,19019054368522.0,0.9996125222436204,1.1111111111111112,0.997,0.0012683592595245,3985248.650422,-3977869.086376,7379.564045999199,492,167,7853,8512
190,190,USDC_USDT,USDC,USDT,2023-11-27,1701043200,0.999792270433266,-170677.253313,0.999792255503261,131431.568023,-39245.68529,208284376501439.0,-243975371630714.0,-35690995129275.0,0.9995951885533364,1.0086206896551724,0.996,0.0001797057005797,2697802.905382,-2628999.795726,68803.10965600004,357,230,6777,7364
193,193,USDC_USDT,USDC,USDT,2023-11-28,1701129600,0.9997922549470556,-124162.09604499998,0.999792254493157,125418.499091,1256.4030460000213,25193209186408.0,-11099701209338.0,14093507977070.0,0.99959887595656,1.0010010010010009,0.997,6.812564284718652e-05,1743083.334626,-1672966.6627389998,70116.67188700032,326,224,4131,4681
